Project Length,30
CRF,0.1
Annual Capture Amount (MTCO2/yr),17.901
Total Cost ($M/yr),-19.806787507419344
Capture Cost ($M/yr),1301.38412
Transport Cost ($M/yr),58.15296249258064
Storage Cost ($M/yr),-1379.34387

Source,Capture Amount (MTCO2/yr),Capture Cost ($M/yr)
6,17.901,1301.38412

Sink,Storage Amount (MTCO2/yr),Storage Cost ($M/yr)
6,17.901,-1379.34387

Edge Source,Edge Sink,Amount (MTCO2/yr),Transport Cost ($M/yr)
648113,648114,17.901,0.2326539332258065
649437,657366,17.901,0.7240654151612903
246347,247669,17.901,0.1519319851612903
241059,246347,17.901,0.5789696445161291
243675,241059,17.901,3.0583091322580636
178898,180220,17.901,0.19016810064516132
180220,185506,17.901,0.42044405612903235
185506,243675,17.901,9.965084862580644
549021,648113,17.901,8.867021261290327
648114,649437,17.901,1.3322544612903227
247669,549021,17.901,32.632059640322574
